state,county,state_house_blue_perc,density_km,days_counted,case_count_28_days,death_count_28_days,confirmed_infection(%_of_pop),death_perc(%_of_case),avg_daily_case_increase(%_of_pop),case_count_28_days(%_of_pop),death_count_28_days(%_of_case),years_of_potential_life_lost_rate,percent_fair_or_poor_health,percent_low_birthweight,percent_smokers,percent_adults_with_obesity,food_environment_index,percent_physically_inactive,percent_with_access_to_exercise_opportunities,percent_excessive_drinking,percent_driving_deaths_with_alcohol_involvement,chlamydia_rate,teen_birth_rate,percent_uninsured,primary_care_physicians_rate,dentist_rate,mental_health_provider_rate,preventable_hospitalization_rate,percent_with_annual_mammogram,percent_vaccinated,high_school_graduation_rate,percent_some_college,labor_force,percent_unemployed,percent_children_in_poverty,80th_percentile_income,20th_percentile_income,percent_single_parent_households,social_association_rate,injury_death_rate,average_daily_pm2_5,presence_of_water_violation,percent_severe_housing_problems,severe_housing_cost_burden,overcrowding,inadequate_facilities,percent_drive_alone_to_work,percent_long_commute_drives_alone,life_expectancy,age_adjusted_death_rate,percent_frequent_physical_distress,percent_frequent_mental_distress,percent_adults_with_diabetes,percent_food_insecure,percent_limited_access_to_healthy_foods,percent_insufficient_sleep,percent_uninsured_2,percent_uninsured_3,other_primary_care_provider_rate,median_household_income,household_income_white,segregation_index_2,average_traffic_volume_per_meter_of_major_roadways,percent_homeowners,percent_severe_housing_cost_burden,percent_less_than_18_years_of_age,percent_65_and_over,percent_black,percent_american_indian_alaska_native,percent_asian,percent_native_hawaiian_other_pacific_islander,percent_hispanic,percent_non_hispanic_white,percent_not_proficient_in_english,percent_female,percent_rural
Maine,Cumberland,60.0,91.99799999999999,56,454,24,0.22691454839521755,4.5592705167173255,0.0040520455070574566,0.15656414129396468,5.286343612334802,5625.799522,9.0048088735,6.780966069500001,11.391522395,23.3,8.0,15.9,83.844089266,22.818499418000002,32.989690722,362.1,7.8709488956,9.1837857046,166.15385,99.81026,699.69376,2537.0,44.0,53.0,88.250684463,77.795746745,165409.0,2.6818371431,8.0,130228.0,29804.0,27.049463225,13.196581197,76.1055917,8.0,t,15.525579028,14.002913702999999,1.2810723679,0.9544413337000001,76.47281729999999,30.2,80.240827854,275.34596362,9.0863424888,11.361189834000001,8.6,12.2,4.5013448241,28.986395744,10.596930765,4.7333128058,182.2474,71586.0,71242.0,41.624652223000005,153.14807862,68.741281522,13.243044386,18.666221552,18.449909217000002,3.0229222945,0.3580224624,2.2765595779,0.0337242852,2.1406404889,90.35349182600001,1.0936128242,51.469731601999996,36.098468442
Maine,Kennebec,60.0,48.713,52,104,6,0.09001500250041673,7.4074074074074066,0.0017310577403926294,0.08668111351891981,5.769230769230769,7287.6626511,12.485646195,6.7203317477999995,16.463107334,33.5,8.0,23.1,76.525775475,19.15456187,36.764705882,321.0,16.887016887,9.6553093231,127.23586,81.09236999999999,487.37334000000004,3295.0,46.0,46.0,83.152173913,66.454689984,62541.0,3.2362770023,15.0,99128.0,22193.0,35.533492415,14.611602269,92.47562194,7.7,t,14.440291167,12.766802343,1.6427306709,0.6984064529,79.891549149,32.3,78.19938655899999,358.61099444,10.576096623,12.692532802,10.5,13.5,2.5049943169,31.139658279000002,11.441902717,4.212386471,192.49199,52154.0,53463.0,30.248750218,32.773063111,70.705444104,11.614708233,19.303260895999998,19.94544695,0.6962476348000001,0.5406158106,0.9313336009000001,0.0376792838,1.5874446074000002,94.558619955,0.40513868210000004,51.247102381000005,62.830431188
Maine,Knox,60.0,13.474,46,17,0,0.04516371847948814,0.0,0.0009818199669453943,0.04265462300840547,0.0,6808.917079899999,11.173563361,6.4978902953999995,13.697646418,27.2,8.0,18.6,44.813267566,20.544286757000002,31.818181818000003,397.1,18.873319989000002,11.714176856,92.98819,67.88866,515.45096,2651.0,44.0,48.0,90.77146171700001,61.220196353,20584.0,3.2209483093999998,16.1,104845.0,24811.0,32.959326788,15.330485046,98.07077189200001,7.2,f,15.81920904,13.373313343,1.5759738329,1.6651798989,77.653175655,18.0,79.098034357,312.90490042,9.4505090106,11.784603782000001,8.3,12.3,5.0086410381,29.277614789,13.545707635,6.0940695297000005,82.97503,56678.0,55517.0,24.494076729,75.887121942,76.876894381,13.050776332,17.804430364,25.287269619,0.7417464987000001,0.4651630585,0.6411707023,0.030172738900000003,1.4935505771000002,95.124588268,0.09723536210000001,50.675115033999994,67.930843568
Maine,Oxford,60.0,10.155,52,15,0,0.029719240585993494,0.0,0.0005715238574229519,0.026222859340582494,0.0,7698.8039832,13.647688755,6.8322981365999995,18.030923525,33.2,8.0,26.2,40.955855653,18.948454547,44.0,287.3,20.749076842,11.308801725,59.19323000000001,36.446940000000005,256.86417,3761.0,49.0,41.0,83.531347962,52.377850163000005,26683.0,3.9913053255,26.3,87373.0,20724.0,38.927544299000004,9.2271801389,82.660769966,7.4,t,15.946924005,13.627498781,1.5681544028999999,1.3751507841,80.786981778,42.7,77.763530797,378.06411479,10.862145925999998,13.292927572,9.6,13.4,2.2902843646,31.92171382,13.199918555,5.0651631389,69.42275,44243.0,47680.0,28.548457904,49.285333511000005,80.508311713,11.795530947,18.438682355999997,21.665104655,0.5900933736,0.4981082301,0.7723280919,0.0329758062,1.4387864903,95.16644104299999,0.19564819890000001,50.527612899,83.111718223
Maine,Penobscot,60.0,16.579,51,79,0,0.0582872711078511,0.0,0.0011428876687813942,0.05173813952269929,0.0,7774.1658079,15.212091015999999,7.4000595179,16.858076332,33.7,7.5,23.5,63.412225593,20.136416426,36.781609195,345.5,13.537005899,10.933240482,128.98386000000002,81.4052,538.7303400000001,4379.0,45.0,43.0,87.737435567,67.32585358,77127.0,3.7859634110000004,17.1,96173.0,19507.0,35.335083497,10.134445929,87.91468727200001,7.2,t,14.92271587,12.872340426,1.6589787165,1.2867200776999999,79.386752736,26.1,77.597234418,379.25250078,11.602990593,13.741090607,11.5,14.4,5.4524878258000005,33.407974546999995,12.864565597,4.5871234913,231.64081000000002,47840.0,49827.0,38.596016925,77.761898999,69.701841567,13.018226857,18.130195372,18.666278393,0.906046487,1.275348123,1.1264361729999999,0.0324297136,1.3997723302,93.660983745,0.21855353519999998,50.525493726,57.650253698
Maine,Sagadahoc,60.0,36.69,48,19,0,0.05690062306182253,0.0,0.0011854296471213027,0.0540555919087314,0.0,6570.9410467,11.752554148,6.3968668407000004,13.590921937000001,25.1,8.2,18.5,81.42407842899999,20.911209698,20.0,336.2,16.075650118,8.4700043159,64.98644,61.73879,207.66683999999998,3092.0,35.0,33.0,85.23480663,66.19194252,19440.0,2.7109053498,13.0,108978.0,27618.0,32.595270371999995,8.1939421338,76.490285734,7.7,f,14.217098943,12.729616499999999,0.8645533140999999,1.2167787384,79.508377425,32.8,79.58938378100001,307.35706977,9.8594959068,11.573526727,8.4,11.8,2.8439224979000004,27.795679486999997,9.8042923324,4.3713512744,42.09463,65969.0,63361.0,31.284962074000003,77.176204172,75.708962294,13.075973224,19.136218219,22.116517931999997,0.8559241174,0.4686535331,0.8895998204000001,0.028063085800000002,1.8325195038,94.46315316799999,0.5463828263,51.411573217,61.675119712
Maine,Waldo,60.0,17.725,45,49,13,0.1251436598135615,26.53061224489796,0.002780970218079144,0.1251436598135615,26.53061224489796,6519.011651100001,15.062473000999999,7.0525886669,17.510761602,30.7,8.0,20.7,49.99742175,18.578054827,45.0,215.9,22.428460944,12.356302963,72.80578,35.26981,251.92723999999998,4195.0,44.0,42.0,84.793233083,64.630926415,21250.0,3.5247058824,20.2,94838.0,21964.0,30.421561851999996,7.531632857999999,91.326054309,7.1,t,14.803804994000002,12.113943028,1.7835909631,1.9024970273,77.128913747,39.4,79.134137506,314.60729982,11.967201118,12.923932505,10.5,13.0,2.9889325679,32.355220470999996,14.321467098,6.2238493724,83.13599,49482.0,51736.0,28.785469571999997,22.48815611,79.58633620399999,10.584451052999999,18.378092407,22.484506475,0.5693555700999999,0.4962966695,0.7079155540000001,0.0403083589,1.4989670983,95.346903814,0.13557699980000001,50.831359903,91.34223689
Maine,York,60.0,61.108000000000004,52,205,7,0.12377652620433567,3.2128514056224895,0.00238031781162184,0.10190436896340889,3.414634146341464,7166.8968122999995,12.723861548,6.7748385112000005,14.036913690999999,30.2,8.3,21.7,77.91012068100001,21.204135536,38.947368421,301.2,12.987324755,8.5945169841,76.39905999999999,44.6106,398.10114,3810.0,49.0,49.0,88.03747484899999,69.259502939,113999.0,3.0307283397000004,10.5,116106.0,29067.0,27.135284748000004,7.884774549299999,93.53052603799999,7.7,t,14.904952173,13.367875648,1.1199903136,0.8838842475,81.017978274,41.9,79.173045648,326.82858444,9.8425724342,11.437977715999999,9.8,11.3,3.2789042824,31.933983336,9.8598791618,4.6764091858,69.34039,65984.0,66323.0,36.91033955,66.64437411600001,74.24747188399999,12.712435607,18.700085827,20.478691164,0.9086985826,0.3738562472,1.3625629761000002,0.0324881564,1.7383588147,94.101702476,0.49731182799999996,51.216366271999995,56.843418843
Maryland,Anne Arundel,68.09,361.45,56,1510,71,0.41781110578250574,5.0,0.007460912603259031,0.2743020737963407,4.701986754966887,6809.3863006,12.171960063,7.728045795800001,13.675421228,29.4,8.9,20.5,91.911184847,19.249079205,34.259259259000004,389.9,14.095204450999999,5.5851944362,69.43051,67.01028000000001,189.39953,4625.0,41.0,53.0,88.53,74.052549673,309603.0,3.3407299025,9.6,172417.0,46476.0,25.965167712,8.303749771,74.948802579,10.6,f,13.477029732,11.910969010999999,1.5915637358,0.4491529561,79.82909977,47.3,79.230199223,323.24225905,9.5080141366,10.911879985,9.6,7.0,5.024142473,34.732863402,6.665792750900001,2.7901322198000003,104.33466,97051.0,103596.0,40.907960124,386.70917497,74.345252145,11.576711497,22.239601688,14.678029481,17.133452887,0.44146929590000006,4.2058500324,0.12238924640000001,8.0832455198,67.54219825,1.5735066613,50.465686743,5.304134985899999
Maryland,Baltimore,68.09,462.885,58,2234,74,0.4621661131193766,4.685018528321863,0.007968381260678907,0.27328721458673566,3.312444046553268,8090.855808399999,13.813202217,8.962339802,13.277830309,30.9,8.4,23.5,96.349696719,17.169414171,26.086956521999998,538.0,14.274912233,6.1364451946,101.26515,74.71956,305.63801,5172.0,45.0,53.0,89.0,70.305904231,450366.0,4.0416017195,13.0,139753.0,33025.0,34.27217271,8.444769048200001,94.723393714,10.9,t,15.812355150999998,14.171373245,1.6462878606,0.5881882842,79.421830715,47.0,78.083645782,377.34359909,9.776187561699999,11.692123199000001,10.7,11.0,2.8665751613999997,34.082272449,7.174202938500001,3.3579099645999997,109.12194,75836.0,79609.0,50.197054593000004,717.77082683,65.718266739,14.445250134,21.598781311,17.178256246,28.994931381999997,0.4390226826,6.3326939721,0.0758059513,5.6528546131,56.554136675,2.3953457011,52.595931345,6.533801887899999
Maryland,Calvert,68.09,100.255,50,161,11,0.21421877091980182,5.729166666666666,0.0042843754183960366,0.1796313651983755,6.832298136645963,7016.687479000001,11.772675584000002,6.8406982229999995,14.482916074,32.3,9.1,21.4,61.429843245,17.868929565,29.166666666999998,288.5,10.93500974,4.069580846,52.45786999999999,51.08529,183.68966,4408.0,39.0,53.0,94.62,70.73856748,49121.0,3.540237373,6.6,176486.0,51749.0,27.710331145,6.447946493,76.54113044,9.3,f,13.055908513,11.745879340999998,1.2229987294,0.2382465057,81.729094077,61.2,79.437430705,310.53039491,8.9112982975,10.853839741,11.5,6.1,5.2128059666,32.895031173,4.6253795636,2.7733333332999996,56.5199,106270.0,110047.0,15.294199049000001,69.833583894,83.108491458,10.484437911,23.151418975,14.876688804,12.745236568,0.455419932,1.8890688347,0.11086595,4.1498646783,77.986587394,0.35721741549999997,50.422268839,38.709895534
Maryland,Caroline,68.09,38.765,48,98,0,0.32703710495751576,0.0,0.006813273019948245,0.2995293110825845,0.0,9121.859698,17.211157909,7.6923076923,18.602425118,40.2,8.4,30.8,47.653178491999995,16.389890332,28.260869565,307.3,22.652799544,8.3859105166,36.1522,48.04228,45.039629999999995,4914.0,44.0,48.0,82.32,43.796635892,18028.0,3.8162857776999997,19.9,108933.0,25421.0,38.574396261,9.9418552104,93.637513377,9.4,t,19.816819317,18.610526315999998,2.2897585346000002,0.9575353872,84.36028007600001,50.3,76.073092012,431.26821256,11.528338482999999,13.183326116,12.9,11.1,2.2669752544999997,32.054953927,9.949081469600001,4.488839561,87.07663000000001,56627.0,60292.0,28.534987923000003,49.864973811999995,72.41122423600001,15.117170856,23.741892866,16.24429498,13.767115060999998,0.8527504204,1.2130674994,0.3212827288,7.3895027624,75.450396349,1.6653167018000001,50.978861398,75.99951611899999
Maryland,Carroll,68.09,142.798,55,403,37,0.3241297236524995,10.33210332103321,0.005893267702772717,0.24100420411800236,9.181141439205955,6692.269553600001,10.528174203999999,6.4415584416,12.630102677,33.0,9.4,25.4,86.509028684,16.735621183,21.428571429,221.7,8.5262479552,4.5924658031,47.085190000000004,59.3722,214.92736000000002,4066.0,44.0,55.0,97.5,71.008459424,94339.0,3.2457414219,6.1,162670.0,41853.0,20.096397353,9.774646712100001,83.99626842100001,10.5,t,11.133167907,10.049833887,0.6617038875,0.8271298594,85.10424255,57.8,78.621714675,318.7892173,8.618106450199999,10.465627335,9.9,5.4,3.2443411338,31.189914878000003,5.258697987,2.9120907719,69.46547,95956.0,93889.0,30.265623781,128.43292189,82.163771712,10.052570192000001,21.68985151,16.848642455,3.6228915448000003,0.2719246686,2.0038116951,0.07599641389999999,3.7095749544,88.714532533,0.5347223097,50.54592736399999,39.506025105999996
Maryland,Cecil,68.09,93.902,47,195,13,0.2074811202013845,6.161137440758294,0.0044144919191783935,0.19174795468848332,6.666666666666667,9240.5407326,14.388865917999999,7.7067434005,16.915939354000002,32.6,8.5,28.4,81.23689520100001,17.785038722,25.925925925999998,317.3,20.732030767,5.6005351417,40.8775,40.8457,204.2285,4970.0,40.0,49.0,90.54,56.201643136,52632.0,4.4022647819,12.8,128505.0,31762.0,29.319797824000002,6.6182625114,100.79151558,10.7,t,14.583051764,12.981688985999998,1.5812947696000001,0.4460062171,83.187584183,45.4,76.192148673,433.85446331,10.187373697,12.253057299000002,11.4,8.6,6.504830555599999,35.973111390999996,6.5033863600999995,3.3310229543000003,53.48842,72739.0,76048.0,43.289572068999995,150.33784875,72.770105605,11.833578997,22.628518079000003,15.741154961,6.6335362651,0.41040203840000006,1.4539124346,0.0661311341,4.5688833563,84.88709081399999,0.7801117987999999,50.363721238000004,42.102504253
